school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,0,17.0,0,0,0,1.0,1.0,at_home,other,course,father,1.0,2.0,0.0,0,1,0,0,0,1,1,0,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0
0,0,15.0,0,0,0,4.0,2.0,health,services,home,mother,1.0,3.0,0.0,0,1,1,1,1,1,1,1,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15.0,14.0,15.0
0,1,16.0,0,1,0,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,0,1,1,1,1,1,1,0,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,15.0,15.0
0,1,16.0,0,1,0,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,0,0,0,0,1,1,1,0,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0,12.0,11.0
0,0,17.0,0,0,1,4.0,4.0,other,teacher,home,mother,2.0,2.0,0.0,1,1,0,0,1,1,0,0,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0,5.0,6.0
0,1,15.0,0,1,1,3.0,2.0,services,other,home,mother,1.0,2.0,0.0,0,1,1,0,1,1,1,0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,16.0,18.0,19.0
0,1,15.0,0,0,0,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,0,1,1,1,1,1,1,0,5.0,5.0,1.0,1.0,1.0,5.0,0.0,14.0,15.0,15.0
0,0,15.0,0,0,0,2.0,1.0,services,other,reputation,father,3.0,3.0,0.0,0,1,0,1,1,1,1,0,5.0,2.0,2.0,1.0,1.0,4.0,4.0,10.0,12.0,12.0
0,1,15.0,0,1,0,4.0,4.0,health,services,course,father,1.0,1.0,0.0,0,1,1,1,1,1,1,0,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14.0,14.0,14.0
0,1,15.0,0,0,0,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,0,1,1,0,1,1,1,0,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10.0,10.0,11.0
